AUSTRIA,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MEXICO,,,,,,,,,,,,,,
6,6,6,6,6,7,7,7,7,7,3,3,3,3,3
6,6,6,6,6,7,7,9,7,7,3,3,3,3,3
6,6,6,6,6,7,7,7,9,7,3,3,3,3,3
6,6,6,6,6,1,9,7,9,7,3,3,3,3,3
6,6,6,6,6,7,9,9,9,7,3,3,3,3,3
6,6,6,6,6,7,7,9,9,7,3,3,3,3,3
6,6,6,6,6,7,3,9,3,7,3,3,3,3,3
6,6,6,6,6,7,6,5,6,7,3,3,3,3,3
6,6,6,6,6,7,7,6,7,7,3,3,3,3,3
6,6,6,6,6,7,7,7,7,7,3,3,3,3,3
MARRUECOS,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,6,3,3,3,3,3,3,3
3,3,3,3,3,6,3,6,3,6,3,3,3,3,3
3,3,3,3,3,3,6,3,6,3,3,3,3,3,3
3,3,3,3,3,3,3,6,3,3,3,3,3,3,3
3,3,3,3,3,3,3,6,3,3,3,3,3,3,3
3,3,3,3,3,3,6,3,6,3,3,3,3,3,3
3,3,3,3,3,6,3,3,3,6,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
NORUEGA,,,,,,,,,,,,,,
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
7,7,7,7,5,5,7,7,7,7,7,7,7,7,7
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,7,7,7,5,5,7,7,7,7,7,7,7,7,7
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
3,3,3,7,5,5,7,3,3,3,3,3,3,3,3
BOSNIA Y HERZEGOVINA,,,,,,,,,,,,,,
5,7,5,1,1,1,1,1,1,1,5,5,5,5,5
5,7,7,5,1,1,1,1,1,1,5,5,5,5,5
5,5,7,7,5,1,1,1,1,1,5,5,5,5,5
5,5,5,7,7,1,1,1,1,1,5,5,5,5,5
5,5,5,5,7,5,1,1,1,1,5,5,5,5,5
5,5,5,5,7,7,1,1,1,1,5,5,5,5,5
5,5,5,5,5,7,5,1,1,1,5,5,5,5,5
5,5,5,5,5,7,7,1,1,1,5,5,5,5,5
5,5,5,5,5,5,7,5,1,1,5,5,5,5,5
5,5,5,5,5,5,7,7,1,1,5,5,5,5,5
TUNEZ,,,,,,,,,,,,,,
